Time,Susceptible,Exposed,Infectious,Recovered
1.8900,0.8871,0.0517,0.0395,0.0217
1.9000,0.8868,0.0519,0.0395,0.0218
1.9100,0.8866,0.0521,0.0394,0.0219
1.9200,0.8863,0.0522,0.0394,0.0220
1.9300,0.8861,0.0524,0.0394,0.0222
1.9400,0.8858,0.0526,0.0393,0.0223
1.9500,0.8855,0.0528,0.0393,0.0224
1.9600,0.8853,0.0530,0.0393,0.0225
1.9700,0.8850,0.0532,0.0393,0.0226
1.9800,0.8847,0.0533,0.0392,0.0227
1.9900,0.8845,0.0535,0.0392,0.0228
2.0000,0.8842,0.0537,0.0392,0.0229
2.0100,0.8840,0.0539,0.0392,0.0230
2.0200,0.8837,0.0540,0.0391,0.0231
2.0300,0.8835,0.0542,0.0391,0.0232
2.0400,0.8832,0.0544,0.0391,0.0233
2.0500,0.8829,0.0546,0.0391,0.0234
2.0600,0.8827,0.0548,0.0390,0.0235
2.0700,0.8824,0.0549,0.0390,0.0236
2.0800,0.8822,0.0551,0.0390,0.0237
2.0900,0.8819,0.0553,0.0390,0.0238
2.1000,0.8817,0.0555,0.0390,0.0239
2.1100,0.8814,0.0556,0.0389,0.0240
2.1200,0.8811,0.0558,0.0389,0.0241
2.1300,0.8809,0.0560,0.0389,0.0242
2.1400,0.8806,0.0562,0.0389,0.0244
2.1500,0.8804,0.0563,0.0388,0.0245
2.1600,0.8801,0.0565,0.0388,0.0246
2.1700,0.8799,0.0567,0.0388,0.0247
2.1800,0.8796,0.0569,0.0388,0.0248
2.1900,0.8793,0.0570,0.0388,0.0249
2.2000,0.8791,0.0572,0.0387,0.0250
2.2100,0.8788,0.0574,0.0387,0.0251
2.2200,0.8786,0.0575,0.0387,0.0252
2.2300,0.8783,0.0577,0.0387,0.0253
2.2400,0.8781,0.0579,0.0387,0.0254
2.2500,0.8778,0.0580,0.0386,0.0255
2.2600,0.8776,0.0582,0.0386,0.0256
2.2700,0.8773,0.0584,0.0386,0.0257
2.2800,0.8771,0.0586,0.0386,0.0258
2.2900,0.8768,0.0587,0.0386,0.0259
2.3000,0.8766,0.0589,0.0385,0.0260
2.3100,0.8763,0.0591,0.0385,0.0261
2.3200,0.8760,0.0592,0.0385,0.0262
2.3300,0.8758,0.0594,0.0385,0.0263
2.3400,0.8755,0.0596,0.0385,0.0264
2.3500,0.8753,0.0597,0.0385,0.0265
2.3600,0.8750,0.0599,0.0384,0.0266
2.3700,0.8748,0.0601,0.0384,0.0267
2.3800,0.8745,0.0602,0.0384,0.0268
2.3900,0.8743,0.0604,0.0384,0.0269
2.4000,0.8740,0.0606,0.0384,0.0270
2.4100,0.8738,0.0607,0.0384,0.0271
2.4200,0.8735,0.0609,0.0383,0.0272
2.4300,0.8733,0.0610,0.0383,0.0274
2.4400,0.8730,0.0612,0.0383,0.0275
2.4500,0.8728,0.0614,0.0383,0.0276
2.4600,0.8725,0.0615,0.0383,0.0277
2.4700,0.8723,0.0617,0.0383,0.0278
2.4800,0.8720,0.0619,0.0383,0.0279
2.4900,0.8718,0.0620,0.0382,0.0280
2.5000,0.8715,0.0622,0.0382,0.0281
2.5100,0.8713,0.0623,0.0382,0.0282
2.5200,0.8710,0.0625,0.0382,0.0283
2.5300,0.8708,0.0627,0.0382,0.0284
2.5400,0.8705,0.0628,0.0382,0.0285
2.5500,0.8703,0.0630,0.0382,0.0286
2.5600,0.8700,0.0631,0.0381,0.0287
2.5700,0.8698,0.0633,0.0381,0.0288
2.5800,0.8695,0.0635,0.0381,0.0289
2.5900,0.8693,0.0636,0.0381,0.0290
2.6000,0.8690,0.0638,0.0381,0.0291
2.6100,0.8688,0.0639,0.0381,0.0292
2.6200,0.8685,0.0641,0.0381,0.0293
2.6300,0.8683,0.0643,0.0381,0.0294
2.6400,0.8680,0.0644,0.0380,0.0295
2.6500,0.8678,0.0646,0.0380,0.0296
2.6600,0.8675,0.0647,0.0380,0.0297
2.6700,0.8673,0.0649,0.0380,0.0298
2.6800,0.8671,0.0650,0.0380,0.0299
2.6900,0.8668,0.0652,0.0380,0.0300
2.7000,0.8666,0.0654,0.0380,0.0301
2.7100,0.8663,0.0655,0.0380,0.0302
2.7200,0.8661,0.0657,0.0380,0.0303
2.7300,0.8658,0.0658,0.0379,0.0304
2.7400,0.8656,0.0660,0.0379,0.0305
2.7500,0.8653,0.0661,0.0379,0.0306
2.7600,0.8651,0.0663,0.0379,0.0307
2.7700,0.8648,0.0664,0.0379,0.0308
2.7800,0.8646,0.0666,0.0379,0.0309
2.7900,0.8643,0.0667,0.0379,0.0310
2.8000,0.8641,0.0669,0.0379,0.0311
2.8100,0.8638,0.0670,0.0379,0.0312
2.8200,0.8636,0.0672,0.0379,0.0313
2.8300,0.8634,0.0674,0.0378,0.0314
2.8400,0.8631,0.0675,0.0378,0.0315
2.8500,0.8629,0.0677,0.0378,0.0316
2.8600,0.8626,0.0678,0.0378,0.0317
2.8700,0.8624,0.0680,0.0378,0.0318
2.8800,0.8621,0.0681,0.0378,0.0319
2.8900,0.8619,0.0683,0.0378,0.0320
2.9000,0.8616,0.0684,0.0378,0.0321
2.9100,0.8614,0.0686,0.0378,0.0323
2.9200,0.8612,0.0687,0.0378,0.0324
2.9300,0.8609,0.0689,0.0378,0.0325
2.9400,0.8607,0.0690,0.0378,0.0326
2.9500,0.8604,0.0692,0.0378,0.0327
2.9600,0.8602,0.0693,0.0378,0.0328
2.9700,0.8599,0.0695,0.0377,0.0329
2.9800,0.8597,0.0696,0.0377,0.0330
2.9900,0.8595,0.0698,0.0377,0.0331
3.0000,0.8592,0.0699,0.0377,0.0332
3.0100,0.8590,0.0700,0.0377,0.0333
3.0200,0.8587,0.0702,0.0377,0.0334
3.0300,0.8585,0.0703,0.0377,0.0335
3.0400,0.8582,0.0705,0.0377,0.0336
3.0500,0.8580,0.0706,0.0377,0.0337
3.0600,0.8577,0.0708,0.0377,0.0338
3.0700,0.8575,0.0709,0.0377,0.0339
3.0800,0.8573,0.0711,0.0377,0.0340
3.0900,0.8570,0.0712,0.0377,0.0341
3.1000,0.8568,0.0714,0.0377,0.0342
3.1100,0.8565,0.0715,0.0377,0.0343
3.1200,0.8563,0.0717,0.0377,0.0344
3.1300,0.8561,0.0718,0.0377,0.0345
3.1400,0.8558,0.0719,0.0377,0.0346
3.1500,0.8556,0.0721,0.0377,0.0347
3.1600,0.8553,0.0722,0.0377,0.0348
3.1700,0.8551,0.0724,0.0377,0.0349
3.1800,0.8548,0.0725,0.0377,0.0350
3.1900,0.8546,0.0727,0.0376,0.0351
3.2000,0.8544,0.0728,0.0376,0.0352
3.2100,0.8541,0.0730,0.0376,0.0353
3.2200,0.8539,0.0731,0.0376,0.0354
3.2300,0.8536,0.0732,0.0376,0.0355
3.2400,0.8534,0.0734,0.0376,0.0356
3.2500,0.8532,0.0735,0.0376,0.0357
3.2600,0.8529,0.0737,0.0376,0.0358
3.2700,0.8527,0.0738,0.0376,0.0359
3.2800,0.8524,0.0739,0.0376,0.0360
3.2900,0.8522,0.0741,0.0376,0.0361
3.3000,0.8519,0.0742,0.0376,0.0362
3.3100,0.8517,0.0744,0.0376,0.0363
3.3200,0.8515,0.0745,0.0376,0.0364
3.3300,0.8512,0.0747,0.0376,0.0365
3.3400,0.8510,0.0748,0.0376,0.0366
3.3500,0.8507,0.0749,0.0376,0.0367
3.3600,0.8505,0.0751,0.0376,0.0368
3.3700,0.8503,0.0752,0.0376,0.0369
3.3800,0.8500,0.0754,0.0376,0.0370
3.3900,0.8498,0.0755,0.0376,0.0371
3.4000,0.8495,0.0756,0.0376,0.0372
3.4100,0.8493,0.0758,0.0376,0.0373
3.4200,0.8491,0.0759,0.0376,0.0374
3.4300,0.8488,0.0760,0.0376,0.0375
3.4400,0.8486,0.0762,0.0376,0.0376
3.4500,0.8483,0.0763,0.0376,0.0377
3.4600,0.8481,0.0765,0.0376,0.0378
3.4700,0.8479,0.0766,0.0376,0.0379
3.4800,0.8476,0.0767,0.0376,0.0380
3.4900,0.8474,0.0769,0.0376,0.0381
3.5000,0.8471,0.0770,0.0376,0.0382
3.5100,0.8469,0.0771,0.0376,0.0383
3.5200,0.8467,0.0773,0.0376,0.0384
3.5300,0.8464,0.0774,0.0376,0.0385
3.5400,0.8462,0.0776,0.0376,0.0386
3.5500,0.8460,0.0777,0.0376,0.0387
3.5600,0.8457,0.0778,0.0376,0.0388
3.5700,0.8455,0.0780,0.0376,0.0389
3.5800,0.8452,0.0781,0.0377,0.0390
3.5900,0.8450,0.0782,0.0377,0.0391
3.6000,0.8448,0.0784,0.0377,0.0392
3.6100,0.8445,0.0785,0.0377,0.0393
3.6200,0.8443,0.0786,0.0377,0.0394
3.6300,0.8440,0.0788,0.0377,0.0395
3.6400,0.8438,0.0789,0.0377,0.0396
3.6500,0.8436,0.0790,0.0377,0.0397
3.6600,0.8433,0.0792,0.0377,0.0398
3.6700,0.8431,0.0793,0.0377,0.0399
3.6800,0.8428,0.0794,0.0377,0.0400
3.6900,0.8426,0.0796,0.0377,0.0401
3.7000,0.8424,0.0797,0.0377,0.0402
3.7100,0.8421,0.0798,0.0377,0.0403
3.7200,0.8419,0.0800,0.0377,0.0404
3.7300,0.8417,0.0801,0.0377,0.0405
3.7400,0.8414,0.0802,0.0377,0.0406
3.7500,0.8412,0.0804,0.0377,0.0407
3.7600,0.8409,0.0805,0.0377,0.0408
3.7700,0.8407,0.0806,0.0377,0.0409
3.7800,0.8405,0.0808,0.0377,0.0410
3.7900,0.8402,0.0809,0.0377,0.0411
3.8000,0.8400,0.0810,0.0377,0.0412
3.8100,0.8398,0.0812,0.0377,0.0413
3.8200,0.8395,0.0813,0.0378,0.0414
3.8300,0.8393,0.0814,0.0378,0.0415
3.8400,0.8390,0.0816,0.0378,0.0416
3.8500,0.8388,0.0817,0.0378,0.0417
3.8600,0.8386,0.0818,0.0378,0.0418
3.8700,0.8383,0.0820,0.0378,0.0419
3.8800,0.8381,0.0821,0.0378,0.0420
3.8900,0.8379,0.0822,0.0378,0.0421
3.9000,0.8376,0.0823,0.0378,0.0422
3.9100,0.8374,0.0825,0.0378,0.0423
3.9200,0.8371,0.0826,0.0378,0.0424
3.9300,0.8369,0.0827,0.0378,0.0425
3.9400,0.8367,0.0829,0.0378,0.0426
3.9500,0.8364,0.0830,0.0378,0.0427
3.9600,0.8362,0.0831,0.0378,0.0428
3.9700,0.8359,0.0833,0.0379,0.0429
3.9800,0.8357,0.0834,0.0379,0.0430
3.9900,0.8355,0.0835,0.0379,0.0431
4.0000,0.8352,0.0836,0.0379,0.0432
4.0100,0.8350,0.0838,0.0379,0.0433
4.0200,0.8348,0.0839,0.0379,0.0434
4.0300,0.8345,0.0840,0.0379,0.0435
4.0400,0.8343,0.0842,0.0379,0.0436
4.0500,0.8341,0.0843,0.0379,0.0437
4.0600,0.8338,0.0844,0.0379,0.0438
4.0700,0.8336,0.0845,0.0379,0.0439
4.0800,0.8333,0.0847,0.0379,0.0440
4.0900,0.8331,0.0848,0.0380,0.0442
4.1000,0.8329,0.0849,0.0380,0.0443
4.1100,0.8326,0.0851,0.0380,0.0444
4.1200,0.8324,0.0852,0.0380,0.0445
4.1300,0.8322,0.0853,0.0380,0.0446
4.1400,0.8319,0.0854,0.0380,0.0447
4.1500,0.8317,0.0856,0.0380,0.0448
4.1600,0.8314,0.0857,0.0380,0.0449
4.1700,0.8312,0.0858,0.0380,0.0450
4.1800,0.8310,0.0859,0.0380,0.0451
4.1900,0.8307,0.0861,0.0380,0.0452
4.2000,0.8305,0.0862,0.0381,0.0453
4.2100,0.8303,0.0863,0.0381,0.0454
4.2200,0.8300,0.0864,0.0381,0.0455
4.2300,0.8298,0.0866,0.0381,0.0456
4.2400,0.8295,0.0867,0.0381,0.0457
4.2500,0.8293,0.0868,0.0381,0.0458
4.2600,0.8291,0.0869,0.0381,0.0459
4.2700,0.8288,0.0871,0.0381,0.0460
4.2800,0.8286,0.0872,0.0381,0.0461
4.2900,0.8284,0.0873,0.0381,0.0462
4.3000,0.8281,0.0874,0.0382,0.0463
