Time,Susceptible,Infectious
34.6,0.805078,0.0395898
34.7,0.804536,0.0397292
34.8,0.803994,0.039869
34.9,0.803451,0.0400092
35,0.802909,0.0401497
35.1,0.802367,0.0402907
35.2,0.801824,0.040432
35.3,0.801282,0.0405737
35.4,0.800739,0.0407158
35.5,0.800196,0.0408583
35.6,0.799653,0.0410012
35.7,0.79911,0.0411444
35.8,0.798567,0.0412881
35.9,0.798023,0.0414321
36,0.79748,0.0415766
36.1,0.796936,0.0417214
36.2,0.796393,0.0418666
36.3,0.795849,0.0420122
36.4,0.795305,0.0421582
36.5,0.794761,0.0423046
36.6,0.794217,0.0424514
36.7,0.793673,0.0425986
36.8,0.793128,0.0427462
36.9,0.792584,0.0428941
37,0.792039,0.0430425
37.1,0.791494,0.0431912
37.2,0.790949,0.0433404
37.3,0.790404,0.04349
37.4,0.789859,0.0436399
37.5,0.789314,0.0437903
37.6,0.788768,0.043941
37.7,0.788223,0.0440922
37.8,0.787677,0.0442437
37.9,0.787131,0.0443957
38,0.786585,0.044548
38.1,0.786039,0.0447008
38.2,0.785493,0.0448539
38.3,0.784947,0.0450075
38.4,0.784401,0.0451614
38.5,0.783854,0.0453158
38.6,0.783307,0.0454705
38.7,0.78276,0.0456257
38.8,0.782213,0.0457813
38.9,0.781666,0.0459373
39,0.781119,0.0460937
39.1,0.780572,0.0462504
39.2,0.780024,0.0464076
39.3,0.779477,0.0465652
39.4,0.778929,0.0467233
39.5,0.778381,0.0468817
39.6,0.777833,0.0470405
39.7,0.777285,0.0471998
39.8,0.776737,0.0473594
39.9,0.776188,0.0475195
40,0.77564,0.0476799
40.1,0.775091,0.0478408
40.2,0.774542,0.0480021
40.3,0.773993,0.0481638
40.4,0.773444,0.0483259
40.5,0.772895,0.0484885
40.6,0.772345,0.0486514
40.7,0.771796,0.0488148
40.8,0.771246,0.0489786
40.9,0.770696,0.0491427
41,0.770146,0.0493073
41.1,0.769596,0.0494724
41.2,0.769046,0.0496378
41.3,0.768496,0.0498037
41.4,0.767945,0.0499699
41.5,0.767394,0.0501366
41.6,0.766844,0.0503037
41.7,0.766293,0.0504713
41.8,0.765742,0.0506392
41.9,0.76519,0.0508076
42,0.764639,0.0509763
42.1,0.764088,0.0511456
42.2,0.763536,0.0513152
42.3,0.762984,0.0514852
42.4,0.762432,0.0516557
42.5,0.76188,0.0518266
42.6,0.761328,0.0519979
42.7,0.760775,0.0521696
42.8,0.760223,0.0523418
42.9,0.75967,0.0525144
43,0.759117,0.0526874
43.1,0.758564,0.0528608
43.2,0.758011,0.0530347
43.3,0.757458,0.0532089
43.4,0.756904,0.0533836
43.5,0.756351,0.0535588
43.6,0.755797,0.0537343
43.7,0.755243,0.0539103
43.8,0.754689,0.0540867
43.9,0.754135,0.0542636
44,0.753581,0.0544408
44.1,0.753026,0.0546185
44.2,0.752471,0.0547967
44.3,0.751917,0.0549752
44.4,0.751362,0.0551542
44.5,0.750807,0.0553336
44.6,0.750251,0.0555135
44.7,0.749696,0.0556937
44.8,0.74914,0.0558744
44.9,0.748585,0.0560556
45,0.748029,0.0562372
45.1,0.747473,0.0564192
45.2,0.746917,0.0566016
45.3,0.74636,0.0567845
45.4,0.745804,0.0569678
45.5,0.745247,0.0571515
45.6,0.74469,0.0573356
45.7,0.744134,0.0575202
45.8,0.743576,0.0577053
45.9,0.743019,0.0578908
46,0.742462,0.0580767
46.1,0.741904,0.058263
46.2,0.741346,0.0584498
46.3,0.740789,0.058637
46.4,0.740231,0.0588246
46.5,0.739672,0.0590127
46.6,0.739114,0.0592012
46.7,0.738555,0.0593902
46.8,0.737997,0.0595796
46.9,0.737438,0.0597694
47,0.736879,0.0599597
47.1,0.73632,0.0601504
47.2,0.735761,0.0603415
47.3,0.735201,0.0605331
47.4,0.734641,0.0607251
47.5,0.734082,0.0609176
47.6,0.733522,0.0611105
47.7,0.732962,0.0613039
47.8,0.732401,0.0614976
47.9,0.731841,0.0616919
48,0.73128,0.0618865
48.1,0.73072,0.0620816
48.2,0.730159,0.0622772
48.3,0.729598,0.0624732
48.4,0.729036,0.0626696
48.5,0.728475,0.0628665
48.6,0.727913,0.0630638
48.7,0.727352,0.0632616
48.8,0.72679,0.0634598
48.9,0.726228,0.0636584
49,0.725666,0.0638575
49.1,0.725103,0.064057
49.2,0.724541,0.064257
49.3,0.723978,0.0644574
49.4,0.723415,0.0646583
49.5,0.722852,0.0648596
49.6,0.722289,0.0650613
49.7,0.721726,0.0652635
49.8,0.721162,0.0654661
49.9,0.720598,0.0656692
50,0.720035,0.0658728
50.1,0.719471,0.0660767
50.2,0.718907,0.0662811
50.3,0.718342,0.066486
