Time,Susceptible,Infectious,Recovered
168.5000,0.1058,0.0000,0.8941
168.5100,0.1058,0.0000,0.8941
168.5200,0.1058,0.0000,0.8941
168.5300,0.1058,0.0000,0.8941
168.5400,0.1058,0.0000,0.8941
168.5500,0.1058,0.0000,0.8941
168.5600,0.1058,0.0000,0.8941
168.5700,0.1058,0.0000,0.8941
168.5800,0.1058,0.0000,0.8941
168.5900,0.1058,0.0000,0.8941
168.6000,0.1058,0.0000,0.8941
168.6100,0.1058,0.0000,0.8941
168.6200,0.1058,0.0000,0.8941
168.6300,0.1058,0.0000,0.8941
168.6400,0.1058,0.0000,0.8941
168.6500,0.1058,0.0000,0.8941
168.6600,0.1058,0.0000,0.8941
168.6700,0.1058,0.0000,0.8941
168.6800,0.1058,0.0000,0.8941
168.6900,0.1058,0.0000,0.8941
168.7000,0.1058,0.0000,0.8941
168.7100,0.1058,0.0000,0.8941
168.7200,0.1058,0.0000,0.8941
168.7300,0.1058,0.0000,0.8941
168.7400,0.1058,0.0000,0.8941
168.7500,0.1058,0.0000,0.8941
168.7600,0.1058,0.0000,0.8941
168.7700,0.1058,0.0000,0.8941
168.7800,0.1058,0.0000,0.8941
168.7900,0.1058,0.0000,0.8941
168.8000,0.1058,0.0000,0.8941
168.8100,0.1058,0.0000,0.8941
168.8200,0.1058,0.0000,0.8941
168.8300,0.1058,0.0000,0.8941
168.8400,0.1058,0.0000,0.8941
168.8500,0.1058,0.0000,0.8941
168.8600,0.1058,0.0000,0.8941
168.8700,0.1058,0.0000,0.8941
168.8800,0.1058,0.0000,0.8941
168.8900,0.1058,0.0000,0.8941
168.9000,0.1058,0.0000,0.8941
168.9100,0.1058,0.0000,0.8941
168.9200,0.1058,0.0000,0.8941
168.9300,0.1058,0.0000,0.8941
168.9400,0.1058,0.0000,0.8941
168.9500,0.1058,0.0000,0.8941
168.9600,0.1058,0.0000,0.8941
168.9700,0.1058,0.0000,0.8941
168.9800,0.1058,0.0000,0.8941
168.9900,0.1058,0.0000,0.8941
169.0000,0.1058,0.0000,0.8941
169.0100,0.1058,0.0000,0.8941
169.0200,0.1058,0.0000,0.8941
169.0300,0.1058,0.0000,0.8941
169.0400,0.1058,0.0000,0.8941
169.0500,0.1058,0.0000,0.8941
169.0600,0.1058,0.0000,0.8941
169.0700,0.1058,0.0000,0.8941
169.0800,0.1058,0.0000,0.8941
